Country/Region,Mean_confirmed,Mean_death,Mean_recovered,n_confirmed,n_death,n_recovered,SD_confirmed,SD_death,SD_recovered,Health_exp_public_pct_2016,Health_exp_per_capita_USD_2016,Nurse_midwife_per_1000_2009.18,Specialist_surgical_per_1000_2008.18
Sweden,310.25619834710744,54.24691358024691,59.87951807228916,122,82,84,268.2080824324533,47.91464569006994,352.8719935666015,83.5,5710.6,11.5,113.1
Switzerland,321.46875,22.057471264367816,320.2022471910112,97,88,90,390.94958493458756,22.15345861067437,419.20336190357114,62.8,9836,17.3,94.8
Tanzania,6.684210526315789,0.32786885245901637,2.8,77,62,66,24.062812540690683,1.1063650915710388,15.462858726639135,40.6,35.5,0.4,0.5
Thailand,23.684615384615384,0.6153846153846154,23.5,131,92,127,39.32197338557916,0.9974326016688025,43.671455208179175,78.1,221.9,3,13.1
Togo,5.127906976744186,0.18461538461538463,2.9166666666666665,87,66,73,7.228695288066543,0.4640954808922574,4.044645216774577,20,38.8,0.3,0.5
Trinidad and Tobago,1.4743589743589745,0.1044776119402985,1.5735294117647058,79,68,69,4.736496483097914,0.35395293122318305,3.1018346832329917,52.8,1063.8,3.5,30.9
Tunisia,12.227272727272727,0.6438356164383562,13.7,89,74,71,15.91336261504363,0.9912094606211956,23.37678149454022,56.6,256.5,2.6,11.5
Turkey,2023.962962962963,60.52,1909.6567164179105,82,76,68,1416.6771636866013,37.02167371046756,1656.0724031917503,78.4,468.6,2.6,47.6
Ukraine,265.96629213483146,8.949367088607595,134.32394366197184,90,80,72,197.58752085170454,6.368791565481162,148.0082791745967,42.4,141.2,7.1,86.6
United Kingdom,2282.2644628099174,448.48837209302326,10.908256880733944,122,87,110,2192.1605581731274,343.8840346322665,44.41190641250002,80.2,3958,8.3,133.3
Uruguay,10.367088607594937,0.328125,10.557377049180328,80,65,62,9.291817761480305,0.6186182118750563,7.360988588869334,71.7,1379.1,1.9,38.9
US,13770.546153846153,1134.5652173913043,3971.026785714286,131,93,113,12984.068108161944,837.7420503667578,7215.2023608062555,81.8,9869.7,8.6,54.7
Uzbekistan,47.03896103896104,0.2153846153846154,43.56923076923077,78,66,66,35.827232202996214,0.4142880826002789,34.93832478041181,46.1,135.1,12.1,50.4
Zambia,14.256756756756756,0.1016949152542373,13.39655172413793,75,60,59,36.990580367339795,0.44314375554344393,59.65660200966347,38.3,56.5,0.9,1.5
Zimbabwe,2.4583333333333335,0.043478260869565216,0.6086956521739131,73,70,47,9.588633969885946,0.2054251408446602,1.4526337898920814,46.5,93.9,1.2,1.6
